Variable,Team
hrw,rw
lrw,rw
wrw,rw
arw,rw
xrw,rw
yrw,rw
qrw,rw
hfw,fw
lfw,fw
wfw,fw
afw,fw
xfw,fw
yfw,fw
qfw,fw
hsw,sw
lsw,sw
wsw,sw
asw,sw
xsw,sw
ysw,sw
rrt,sw
mrt,sw
qsw,sw
Prt,rt
xrt,rt
rft,rt
mft,rt
Pft,ft
xft,ft
xe,e
ye,e
Sigma_e,e
le,e
he,e
T_e,e
me,e
hc,c
lc,c
wc,c
tc,c
xc,c
yc,c
qc,c
hia,ia
lia,ia
wia,ia
xia,ia
yia,ia
qia,ia
Eia,ia
xbrk,brk
ybrk,brk
qbrk,brk
lbrk,brk
hbrk,brk
wbrk,brk
tbrk,brk
rbrk,brk
xrsp,rsp
yrsp,rsp
krsp,rsp
crsp,rsp
mrsp,rsp
xfsp,fsp
yfsp,fsp
kfsp,fsp
cfsp,fsp
mfsp,fsp